site,lat,lon,AMT,maxTWW,minTCW,MAP,PWW,PDW,AMMI,MMIDQ,MMIWQ,elev,tot_plfa,bac,fun,euk,proto,actino,gpos,gneg,f_b,gpos_gneg,ph,ec,sand,silt,clay,moisture,whc,litC,litN,litCN,soilC,soilN,soilCN,lit_alk,lit_nalk,lit_oalk,lit_dioalk,lit_aryl,lit_oaryl,lit_carbonyl,lit_ketone,lit_a_oa,soil_alk,soil_nalk,soil_oalk,soil_dioalk,soil_aryl,soil_oaryl,soil_carbonyl,soil_ketone,soil_a_oa,k_doc,k_tdn,k_no3,k_nh4,k_don,k_faa,w_doc,w_tdn,w_no3,w_nh4,w_don,w_faa,t12_gluc,mrt_gluc,cue_gluc,mbn,mbc,mbc_n
SAT11,-34.88038,138.708815,15.3602,28.7877,5.80688,729.134,26.6281,3.9376,0.592029,0.110338,0.999963,277.198,,,,,,,,,,,5.6,0.04,84.91,5.8,9.28,1.41,0.329,463.7882042,7.539082029,61.51786152,26.60420654,1.242068998,21.41926622,13.47604361,5.938935404,41.79965581,11.02251914,13.53680242,6.523939773,6.089398249,1.612705593,0.322396042,21.53018456,6.367209828,21.76087257,6.600752902,21.50521556,8.79647944,10.59638129,2.842903846,0.989398954,99.8,19.53617506,4.00569248,6.756535937,8.773946644,1.575028385,95.93558137,12.18213031,0.935987795,5.506652568,5.739489949,0.870033095,3.177203758,4.583736106,0.513601196,10.831,191.7,17.7
SAT12,-34.93296,138.72748,13.5762,26.395,5.01576,979.896,37.3834,5.63645,0.670172,0.158522,1,507.479,103.5188834,34.39524672,5.805510842,1.880048319,0.069342782,0.881226208,13.56275958,9.081254105,0.169,1.493,5.1,0.027,83.02,6.02,10.96,3.88,0.425,470.9898799,8.292096015,56.79985845,35.899182,1.72596508,20.79948338,18.11471869,6.074368702,36.95990423,9.958980589,14.50171991,6.810559364,5.97615516,1.603593362,0.490118118,18.74496385,6.662585177,25.71117939,7.572261964,20.75437967,8.386409929,9.776736571,2.391483449,0.729058888,90.2,11.04672616,1.601258535,1.393035759,8.052431866,1.794668675,68.64897087,4.914120605,0.44322219,0.765960871,3.704937544,0.453051603,1.712291042,2.470313795,0.591692214,34.186,457.7,13.4
SAT13,-35.082681,138.679569,14.9491,27.5766,6.04116,807.801,30.46,4.51276,0.618756,0.124972,1,294.07,70.4974955,13.89514813,1.659459254,0.24656546,0.002437042,0.555788024,5.401782838,2.510583463,0.119,2.152,4.8,0.37,50.7,31.02,18.28,7.99,0.434,463.2037067,7.839759832,59.08391541,53.65480373,2.223113447,24.13498231,15.02231339,5.594430847,38.41129128,11.06657372,14.17178231,7.656675183,6.371638798,1.705294482,0.39109108,19.18722888,6.400813085,25.0963726,7.647218587,19.56600407,9.042431377,10.22537786,2.834553544,0.76454192,290.8,22.02243284,3.734765582,0.906045146,17.38162212,2.716284243,279.5823738,12.94337458,1.177091053,1.012443989,10.75383953,1.225877964,2.055360451,2.965258329,0.566119791,47.404,783.4,16.5
SAT14,-35.607836,138.261822,13.9224,23.6799,6.77598,838.247,32.0565,5.0234,0.63201,0.135537,1,305.77,100.1711192,28.72058356,4.511189825,0.892479316,0.011988829,0.32062819,8.239627764,7.333854433,0.157,1.124,5.5,0.082,57.64,20.99,21.37,19.96,0.696,402.314812,7.996115186,50.31378397,74.23961817,3.241650357,22.90179692,18.63396976,6.123261142,35.82121349,9.5694021,14.76470131,6.710403118,6.645410009,1.731639066,0.520193705,19.41109276,6.706286232,26.90287163,8.070698132,18.28630756,8.478582205,9.698919241,2.445242235,0.721524937,151.9,18.51623275,4.924822099,0,13.59141066,2.044215246,112.1618418,6.492389555,0.678398122,0,5.813991433,0.367099419,2.679695853,3.865983918,0.59875632,96.618,1211.5,12.5
SAT15,-35.271672,138.690728,14.0384,26.1989,5.30981,841.06,31.8442,5.12228,0.633019,0.134587,1,333.965,92.22495928,28.81376079,4.373879732,0.86239727,0.071894307,0.81108961,7.582163151,9.939494468,0.152,0.763,5.2,0.035,68.45,18.99,12.56,5.84,0.393,473.4189143,6.156162921,76.90162206,40.45938096,1.379191386,29.33558125,20.44585688,6.144818278,37.93686364,9.815208459,12.7824364,5.865509613,5.630124224,1.379182512,0.538944312,19.31823596,6.53547612,24.72461,7.402083392,21.49349222,9.025801431,8.938929836,2.561371038,0.781336327,167.5,11.68822321,1.518039045,0,10.17018416,2.080352416,184.3376249,6.711630106,0.467878336,0,6.24375177,0.807598875,2.839567271,4.096629619,0.563532073,31.959,529.8,16.6
SAT16,-35.460519,138.604583,14.9896,25.6076,6.44207,653.04,24.4534,4.08614,0.564755,0.102599,0.997403,124.412,74.24626677,18.32340855,1.98653604,0.743822886,0.008807967,0.513709957,7.306257935,3.66278003,0.108,1.995,6.7,0,78.13,10.84,11.03,4.32,0.334,461.9596655,11.16624247,41.37109388,38.67929557,2.085864462,18.54353256,17.89622575,5.995483361,35.29893534,9.821212585,14.82152187,7.262499944,7.124001357,1.780119785,0.506990525,23.13674118,7.548660897,24.73409963,7.085096257,17.37318028,7.217353956,10.43356207,2.471305721,0.935418775,83.7,14.21959887,4.46020302,3.074734387,6.684661462,1.160004912,100.4081785,9.002746642,0.708402588,3.727193546,4.567150508,0.386360639,1.736801467,2.505674863,0.563369826,22.208,417.1,18.8
SAT17,-31.327281,138.567861,17.3657,33.1542,3.42386,306.969,7.91321,3.37194,0.173593,0.063755,0.362912,408.793,,,,,,,,,,,6.3,0.07,71.02,13.45,15.53,10.94,0.103,418.3260651,8.474692346,49.36179958,21.52979477,1.249542241,17.23014562,17.67039012,6.022258857,40.19715421,10.24534521,12.19934725,5.743950877,6.426115696,1.495437782,0.439593063,22.86023812,7.687764801,21.48858296,5.689795231,21.23127452,7.641502265,10.97266373,2.428178371,1.063831811,124.3,9.798001715,1.918882569,1.710553698,6.168565448,0.480175853,60.69484646,7.186101252,0.467669968,1.484240908,5.234190376,0.128224995,4.304764821,6.210462859,0.67743765,66.878,653.7,9.8
SAT18,-31.315017,138.566906,15.7853,31.6148,2.38745,379.546,10.67,3.85748,0.237612,0.075781,0.514968,683.713,90.06197854,19.39496054,3.403689156,0.582961922,0,0.645630764,7.470019405,5.157957461,0.175,1.448,6.2,0.044,66.67,8.9,24.44,19.87,0.169,462.9408165,9.525468515,48.60031985,30.01854187,1.940615247,15.46856953,17.71195239,6.250819145,38.79776552,9.773010353,13.61095853,6.137019478,6.26736457,1.451110011,0.456519909,21.67455064,7.571719527,22.84493911,6.079460402,20.3930614,8.044306791,10.89085236,2.501109756,0.948768151,64.3,9.284481551,3.794983242,7.384775352,0,0.422122518,36.04398994,4.665659642,0.150110697,2.390186978,2.125361967,0.06551552,2.947642127,4.252548678,0.630763674,73.154,818.3,11.2
SAT19,-30.775201,138.798088,14.9966,30.8577,1.52201,376.291,10.0317,3.85333,0.228926,0.082107,0.488448,928.103,99.42069428,26.69467831,9.524240325,0.750392528,0.014439098,0.615345291,10.17247617,7.203302169,0.357,1.412,6.8,0.037,72.15,10.53,17.32,15.17,0.124,473.2448697,8.329226874,56.81738255,17.63777803,1.023201166,17.23784004,18.50349996,5.099342712,37.03648531,10.58587212,13.62088617,7.036106007,6.553689236,1.564118493,0.499601941,25.50781079,7.967901655,20.00582697,5.123687386,21.26549349,7.020334384,10.77780234,2.331142985,1.275019065,26.8,4.439397472,0.872160089,0.38810481,3.179132572,0.744964057,20.91584588,1.752169227,0.179391695,0.260110961,1.312666571,0.091986956,4.653138762,6.713060216,0.552401754,30.978,372.2,12
SAT20,-31.543464,138.595213,15.429,31.4062,2.16814,399.111,11.5129,4.06069,0.261272,0.07894,0.564759,696.035,73.46696106,9.92208994,2.739879162,0.122118291,0,0.364437182,4.19612239,2.046199561,0.276,2.051,5.8,0.028,73.96,8.9,17.14,16.98,0.111,473.6611349,7.80853775,60.65938977,26.67313951,1.428553313,18.67143443,17.45396212,5.942041454,41.12290133,10.44404912,11.76476308,5.731455381,6.159905902,1.380921616,0.424434112,17.57382422,6.163097393,18.05718907,5.919794178,28.64595514,10.33819002,10.2581531,3.043796891,0.973231446,31.1,12.22036785,2.816935346,7.324154295,2.079278212,0.618733938,31.53191452,10.00907155,0.391212167,0.433305422,9.184553966,0.144450738,3.789245619,5.466725863,0.560023684,35.282,404.6,11.5
SAT21,-32.320447,137.954891,15.2685,30.7789,2.74257,482.134,15.2137,3.64426,0.365317,0.07988,0.776922,662.21,95.90387473,28.86708364,4.559136051,0.683027715,0.126071333,0.74453455,10.25779922,10.5890548,0.158,0.969,6.2,0.038,76.61,7.34,16.05,4.98,0.121,455.7648299,7.59516916,60.00719935,21.95246658,1.463335196,15.0016665,14.37246911,5.833100859,45.38870216,10.74229757,11.6697996,5.110274755,5.736735331,1.146620618,0.316653009,19.44180435,6.917973984,24.58161004,6.52487592,21.8090238,7.832126673,10.72864804,2.163937195,0.790908501,42.2,9.170550636,2.427678001,2.778199851,3.964672783,0.860966946,39.47878786,5.782099471,0.734659611,2.898843257,2.148596603,0.17580319,2.051744785,2.960042026,0.6112743,33.952,456.5,13.4
SAT22,-32.310057,137.968828,14.4391,30.0477,2.17229,531.372,17.0549,3.89128,0.414873,0.087849,0.861213,804.726,116.8598419,39.39832406,7.198600771,0.826433151,0.063610614,1.094924691,12.93492373,14.5429924,0.183,0.889,6.8,0.04,66.86,17.66,15.49,8.5,0.453,456.983097,4.425511949,103.2610695,48.56281766,2.241956746,21.66090748,11.13608916,5.874031236,47.50840485,11.98949068,11.00868189,5.891016962,5.293998099,1.29828713,0.234402506,16.60668559,7.81447977,24.13182985,6.972243707,23.56914522,9.123185033,9.489281571,2.293149265,0.688165203,133.4,11.97469722,2.464610607,2.980192125,6.529894488,0.697058702,67.50102038,8.103506119,0.457376532,3.418222395,4.227907192,0.190061845,1.099875329,1.586784682,0.635871049,69.175,870.3,12.6
SAT23,-32.747986,138.136818,14.9128,30.2724,2.92916,560.775,18.3946,4.08658,0.450751,0.087168,0.906671,627.736,88.39552784,25.46359983,5.676721208,0.987561265,0.128946376,0.76773185,9.293653093,6.905772632,0.223,1.346,5.3,0.036,67.53,17.67,14.8,9.02,0.524,475.3761117,5.939115059,80.04157304,38.59671806,1.646874643,23.43634243,16.38225808,5.633877323,40.25327134,10.96670954,12.88906248,6.694965846,5.73486204,1.444993356,0.406979546,22.52415615,6.846792611,22.13829019,6.749924541,22.0032969,8.154318919,9.110063913,2.473156773,1.017429799,77.5,11.68468734,1.534483708,6.934867309,3.215336326,0.33015588,38.98000958,8.915061991,0.247584346,6.428777573,2.238700072,0.171463721,1.415234131,2.041751262,0.589171671,47.77,782.3,16.4
