site,C10_0,C11_0,C12_0,C13_0,iC14_0,aC14_0,C14_0,iC15_0,aC15_0,2OH-C10_0,C14_1n5,C16_0br,C15_0,C16_0br1,iC16_0,aC16_0,C15_1,C17_0br,C16_1w5t,C16_0,C16_1w5c,C17_0br,C16_1n7t,C17_0br1,iC17_0,C16_1br,C16_1n7c,C16_1n9c,aC17_0,C18_0br,2OH-C12_0,C18_0br,C17_0,C17_1br,C18_0br1,iC18_0,me10C16_0,C17_1br1,C17_1,aC18_0,C18_0,C19_0br,C19_0br1,C18_1n9t,3OH-C12_0,iC19_0,C18_1n9c,C18_1ntc_1,aC19_0,C20_0br,C18_1ntc_2,C18_2n6t,2OH-C14_0,C18_2n6c,me10C18_0,C19_1br,C18_3n6c,C20_0,3OH-C14_0,C18_3n3,2OH-C16_0,C20_1,C21_0,C20_2n6,C20_3n6c,C22_0,C20_3n3c,C20_4n6c,C22_1,C23_0,c22_2,C20_5n3,C24_0,C24_1,C25_0,C26_0,C22_6n3c,C27_0,C28_0,C29_0,C30_0
SAT11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAT12,0,0,0.002816246,0,0.240452325,0,2.018683145,5.896878584,1.904795692,0,1.017709457,0.894554426,0.511349645,0.013647848,2.32695815,0.046643934,0.071264092,0.205019105,0.17540587,9.069551278,0.070875758,2.386046038,0.141208704,0.394271661,1.428027369,1.010406048,4.031078129,2.364334644,0.950774256,0.265924148,0.010775826,0.174384602,0.556795299,1.038655379,0.223299942,0.258077901,0.83266838,0.55617512,0.029035775,0.000424121,1.286289665,0.308310298,0.000402231,0.044782655,0,2.172250183,0.472736905,2.665267717,0.088289772,0.091415085,1.029242881,0,0,2.512713989,0.048557828,2.154642987,0,0.331746236,0.396049475,0.110009577,0.001604489,0.019819824,0.027181085,0,0.006215163,0.575455149,0.0515988,0.063127619,0,0.030919488,0,0.016979575,0.54005942,0,0.029157548,0.160895786,0.001878252,0.07041414,0.014059771,0.0081201,0.021582968
SAT13,0,0,0,0,0.06942494,0,0.700228151,2.327019628,0.723344933,0,0,0.002256184,0.231723444,0.006687974,1.299723147,0.048468563,0,0.116780953,0.02779941,4.660980118,0.021433748,0.92888503,0.065509914,0.081209006,0.473567123,0.120464111,0.927775097,0.645752095,0.260735656,0.144112932,1.00E-04,0.097911589,0.148807139,0.181489088,0.130450849,0.099160274,0.299971467,0.30983327,0,0.000661068,0.534290247,0.227164459,0.01421084,0,0,0.891521235,0.248450462,0.450584582,0.002716778,0.002782166,0.034412525,0,0,0.96042421,0.255816556,1.107089402,0,0.054980891,0.100363202,0,0.000952716,0.002399434,0,0,0,0.082608112,0,0.002437042,0,0,0,0,0.065743233,0,0.002719761,0.031788119,0,0.004115735,0.003541761,0.000143013,0.000924835
SAT14,0,0,0,0,0.145610461,0,1.346474344,2.64405131,1.030617207,0,1.063646317,0.007898019,0.388607236,0.000987252,1.961401317,0.01202653,0.075947061,0.013391242,0,11.12730147,2.545136751,1.443691708,0.092352977,0.95483869,0.872516249,0.209028263,2.213240436,0.731643797,1.02267848,0.586845554,0.00445427,0.015789933,0.544835666,0.160950789,0.109220523,0.017917075,0.32039691,0.743512468,0,0.000981758,1.310564467,0.003724345,0.421316486,0,0,1.256733541,0.274302058,2.01357309,0.054701312,0.056443528,0.107230089,0,0,2.079488877,0.000231279,0.02819206,0,0.152434417,0.385341836,0.1438258,0.003183493,0.028284616,0,0,0,0.311334666,0.007568096,0.011988829,0,0,0,0.006221927,0.328704207,0,0.001393502,0.067886979,0.001332385,0.01375269,0,0.001592918,0.000257527
SAT15,0,0,0.015421484,0,0.125151334,0,1.572159691,3.731651357,0.878328381,0.665283557,1.150804639,0.285096414,0.573177601,0.021199077,1.341543076,0.005569954,0.156490479,0.198503667,0.155018252,8.975361393,0.064922174,1.879859351,0.289694743,0.299850805,0.633459647,0.560294729,3.644682532,0.303801482,0.247117661,0.123832005,0,0.001136725,0.611910399,0.552847525,0.196937646,0.013001295,0.768712439,0.295014964,0.024516684,0.015772063,0.91705308,0.000404271,0.015766562,0.043321862,0.000290102,2.333653355,0.344324406,1.436724529,0.145133227,0.108985711,0.240271629,0.142741863,3.074802733,2.242519975,0.042377171,1.908206436,0,0.162933958,0.316905251,0.164247097,0.00138225,0.00831625,0.010229277,0,0,0.227995461,0,0.071894307,0,0.043472809,0,0,0.268263074,0,0.019203713,0.095695462,0.000974336,0.010910556,0.020554271,0.0020749,8.95E-05
SAT16,0,0,0,0,0.118771137,0,1.286873664,2.93323683,0.915686311,0,0,0.001242561,0.234795531,0.006212806,1.596302854,0.055963576,0,0.099045788,0.037509817,5.940772582,0.003883004,1.574598504,0.025627825,0.039573824,0.918112727,0.337433028,1.98312769,0.19484913,0.327583325,0.176272523,0,0.121337793,0.373386362,0.28075274,0.21747357,0.123178389,0.506105244,0.797680234,0,0.000849506,0.66509251,0.291850572,0.000201415,0,0,1.060652253,0.366433183,0.924317018,0.003424058,0.003447536,0.013226262,0,0,0.695785839,0.007604714,0.641280596,0,0.207745943,0.10901183,0,0.003443311,0.002505257,0.005065897,0,0,0.235977249,0.005187016,0.008807967,0,0.011675529,0,0,0.207313876,0.00147493,0.014574273,0.050386462,0,0.000587658,0.00455134,0,0.000757643
SAT17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAT18,0,0,0,0,0.137787823,0,0.767574586,2.436064485,0.885565453,0,0.067341455,0.07545024,0.241992532,0.008070999,1.536210416,0.047797243,0,0.132722241,0.054139175,5.162732384,0.05540877,0.965814674,0.174115939,0.078559088,1.008174967,0.689208923,2.301867119,1.748595587,0.997135618,0.356867347,0.008213745,0.079193634,0.387489708,0.817793081,0.171365765,0.081590936,0.587909517,0.387738547,0.063947989,0.000495994,0.716627989,0.416298572,0.045393008,0.022912563,0,1.327686688,0.435502362,1.882594388,0.024930875,0.034666296,0.876735768,0,0,1.015399641,0.057721247,0.476841419,0,0.126289691,0.054384471,0.047280203,0,0.008326262,0,0,0,0.14657517,0.033086322,0,0,0.015807274,0,0.005826751,0.156990371,0,0.008386913,0.063981959,0.000283425,0.009435548,0.009300726,0.000804758,0.006193016
SAT19,0,0,0.03249657,0,0.160477318,0,1.828508419,3.168615026,1.067729597,0,0.803146215,0.067062363,0.386485304,0.006234441,2.666150167,0.067736356,0,0.033227645,0.001769233,7.273212174,0.126795045,1.151756567,0.336407054,0.638963728,1.228079222,0.841228257,3.519004813,1.06086592,1.492107907,0.851081974,0.00292688,0.065969989,0.321350179,0.168620291,0.007833456,0.067966752,0.433846593,0.690734689,0,0.002534353,1.011360632,0.002840557,0.639125298,0.023110945,0,2.014610342,0.589557176,2.294521558,0.021413429,0.022024705,0.040350475,0,0,4.865383845,0.181498699,0.361627106,0,0.090107362,0.056354428,1.7516668,0.204703253,0.016725026,0,0,0,0.195704008,0,0.014439098,0,0,0.006239721,0.147937342,0.23268529,0,0.000796229,0.068011037,0.007965111,0.000796898,0,0.000149528,0
SAT20,0,0,0,0,0.052029182,0,0.215216038,1.242558377,0.457639509,0,0.013728572,0.017211941,0.153802912,0.003073561,0.919609445,0.011244355,0,0.044398787,0.02476412,2.81771321,0.018090102,0.441026935,0.023183431,0.069112451,0.575274141,0.371022718,1.030082008,0.648170103,0.711012984,0.31195479,0.000762698,0.021213246,0.202696708,0.365288518,0.125118126,0.035302043,0.326419597,0.311876444,0,0.00024015,0.343814684,0.145763275,0.043728983,0,0,0.767079237,0.239625991,0.861195524,0.001366531,0.001516039,0.193515932,0,0,1.108683605,0.038017585,0.28661897,0,0.016387656,0.028068018,0.530374042,0.071382808,0,0,0,0,0.078890951,0.000586534,0,0,0,0,0,0.01763566,0,0.000652095,0.005783465,0,0,0.001929952,0,0.000251977
