site,C10_0,C11_0,C12_0,C13_0,iC14_0,aC14_0,C14_0,iC15_0,aC15_0,2OH-C10_0,C14_1n5,C16_0br,C15_0,C16_0br1,iC16_0,aC16_0,C15_1,C17_0br,C16_1w5t,C16_0,C16_1w5c,C17_0br,C16_1n7t,C17_0br1,iC17_0,C16_1br,C16_1n7c,C16_1n9c,aC17_0,C18_0br,2OH-C12_0,C18_0br,C17_0,C17_1br,C18_0br1,iC18_0,me10C16_0,C17_1br1,C17_1,aC18_0,C18_0,C19_0br,C19_0br1,C18_1n9t,3OH-C12_0,iC19_0,C18_1n9c,C18_1ntc_1,aC19_0,C20_0br,C18_1ntc_2,C18_2n6t,2OH-C14_0,C18_2n6c,me10C18_0,C19_1br,C18_3n6c,C20_0,3OH-C14_0,C18_3n3,2OH-C16_0,C20_1,C21_0,C20_2n6,C20_3n6c,C22_0,C20_3n3c,C20_4n6c,C22_1,C23_0,c22_2,C20_5n3,C24_0,C24_1,C25_0,C26_0,C22_6n3c,C27_0,C28_0,C29_0,C30_0
SAT32,0,0,0,0,0.095707149,0,0.743346181,1.688609213,0.715164836,0,0,0.012311755,0.210573988,0.000639572,1.459822421,0.120935903,0.025896359,0.143445501,0.057081775,6.460865739,0.01311122,1.286670768,0.178680346,0.445864804,1.413187735,0.657959394,4.666555013,3.880921118,0.695730156,0.001311775,0.00069435,0.098237344,0.416065042,1.730691245,0.001093146,0.131614721,0.5800769,0.98892301,0,0.001311775,0.690576463,0.53764564,0.036700069,0,0,2.678482983,0.561178951,2.971384471,0.053909705,0.055798708,0.089089244,0,0,3.275800646,0.056448353,0.172448675,0,0.034438778,0.005268603,2.591699538,0.001181562,0.101573462,0,0,0,0.027823171,0.084834903,0.105180474,0,0,0,0.018924866,0,0,0.001403191,0.000417044,0,0.00060496,0,0.000141892,0
SAT33,0,0,0.005036642,0,0.083465895,0,0.463293617,1.410961668,0.503048759,0.383550985,0.642573074,0.33260253,0.123446515,0.002815257,0.834120493,0.002395203,0.012306062,0.034475634,0.003137001,3.20510092,0.070622738,0.426278656,0.287397543,0.25868192,0.744621371,0.598041067,2.401977451,0.480041572,0.612547855,0.329511493,0.000998001,0.001393128,0,0.812508902,0.067969994,0.009458608,0.166913598,0.440691864,0.559636623,0.001099838,0.427543728,0.000417229,0.060289576,0.034476406,0,1.275051526,0.108655116,1.400903404,0.477518479,0.439798938,0.076074737,0.492153313,3.125386471,1.005863453,0.000207277,0.109883824,0,0.045361911,0,0.585565813,0.278891445,0,0,0,0,0.087927563,0,0,0,0,0,0,0.068666654,0,0.000108599,0.005612118,0.000817023,0.000304332,0.000147313,0,0
SAT34,0,0,0,0,0.034989509,0,0.539747253,1.283349575,0.420709792,0,0.022726519,0.060153605,0.146565429,0.001148909,1.162696153,0.104102119,0,0.179534821,0.021172756,3.007068729,0.000410325,0.850540748,0.082229076,0.16587984,0.988309299,0.511674937,1.296954404,1.298759833,0.988309299,0.087973622,0,0.071890009,0.240068863,0.672202702,0.153056148,0.043089121,0.227213562,0.371470178,0,0,0.5793841,0.248383589,0.000425679,0,0,0.946709686,0.259255598,0.878995701,0.004043949,0.012953171,0.546287814,0,0,0.921560967,0.100662125,0.190514305,0,0.062876852,0.008112322,1.318928764,0,0,0,0,0,0.125950967,0,0,0,0,0,0,0.103650384,0,0,0.131585849,0.000448845,0.000465743,0.000300593,0,9.42E-05
SAT35,0,0,0,0,0.058837929,0,0.403638925,1.270051604,0.418504192,0,0.287985434,0.237226854,0.117580152,0.003552751,0.880193987,0.01274325,0.008519481,0.053024403,0.096408735,5.444814148,0.063626535,0.495574606,0.446435424,0.400711386,1.024751365,1.110476828,2.966627583,2.032173404,0.608496126,0.370962541,0.008214988,0.006035502,0.231405301,0.984826619,0.060502224,0.020093804,0.166182075,0.405318233,0,0.000220811,0.563877783,0.13905112,0,0.0492535,0,1.649347324,0.314537515,1.68365367,0.014030761,0.014337816,0.51529888,0,0,1.933982819,0.038077165,0.122319277,0,0.060072794,0.005055125,2.664536574,0,0.148270522,0,0,0,0.052239537,0.021572069,0.027676829,0,0,0,0,0.030961974,0,0,0.003738207,6.31E-05,0.000305499,0.000147878,0,9.27E-05
SAT36,0,0,0,0,0.010708629,0,0.142584975,0.740413825,0.317878172,0,0,0.000304558,0.040332586,0,0.407879966,0.000906908,0,0,0.002284189,1.463144135,0.004492238,0.076951423,0.000228419,0.001508851,0.285604019,0.220043513,1.458226079,0.80388215,0.087728933,0.001041093,0.001228104,0.023389885,0.041241939,0.176485168,0.000832874,0.010827365,0.145711937,0.246746382,0,0,0.164006822,0.022906729,0.000592415,0,0,0.699050169,0.010305767,0.902098163,0.002764605,0.002816699,0,0,0,0.517190914,0.000392412,0.00046376,0,0,0.001254432,0.109269975,0.001350359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001644769,9.93E-05,0,0.001296344,0,0,8.74E-05
SAT37,0,0,0,0,0.01707543,0,0.231776488,0.817445465,0.197352506,0,0,0,0.076120467,0.001136126,0.602715044,0.036247842,0,0.02691595,0.003651835,3.251511942,0.003814139,0.166101905,0.01290315,0.013554651,0.544023944,0.244754083,1.461707738,1.242922258,0.384125014,0.000443851,0.003423407,0.07330941,0.0290238,0.322760036,0.00798932,0.075232765,0.195738345,0.001311092,0,0.000443851,0.272450613,0.127756102,0.001262828,0,0,0.310234753,0.13334812,0.469391242,0.004630369,0.00140099,0,0,0,0.546371703,0.000418244,0.001553479,0,0,0.002941423,0.268332998,0.002158879,0.000805508,0,0,0,0,0,0,0,0,0,0,0,0,0.001260001,0.000740832,6.34E-05,0.001228162,0.000594498,0,0.000651995
SAT38,0,0,0.071266209,0,0.189930846,0,1.433391141,3.143622381,1.055406484,0,0.456126676,0.037048159,0.339859952,0.014050043,1.895499979,0.027346565,0.02691591,0.065643691,0.288928545,5.958824254,0.248112776,0.895948124,0.519459144,0.341980199,1.672347615,1.673603484,5.876999685,4.32600049,1.286592172,0.578485024,0,0.008442948,0.601817006,2.032865747,0.117414215,0.033056287,0.818397059,1.446473643,0,0.003863722,1.229021306,0.344037428,0.250190532,0.236989396,0.000584328,3.575342806,0.359096305,4.147597737,0.003257159,0.00329088,0.263762028,0,0,1.72600678,0.047735128,0.315810478,0,0.146089246,0.019139147,0.731228045,0.000928051,0.356245491,0,0,0,0.093979744,0,0.140260775,0,0,0,0,0.077222876,0,0,0.035878611,0,0,0.005318852,0,0.000360357
SAT39,0,0,0,0,0.002624039,0,0,0.149392321,0.062973624,0,0,0,0,0,0.161582421,0.001138024,0,0,0.001146517,0.816721881,0.001299386,0.017743557,0,0.001731079,0.067728456,0.003286681,0.359089031,0.170448817,0.048470205,0.017140035,0.001232859,0.001532849,0.001803207,0.000871678,0.00041805,0.003344397,0.004760467,0.018014678,0,0,0.111340551,0.009713585,0.000792946,0,0,0.130043102,0.013035547,0.218845461,0.000198236,0.000188507,0,0,0,0.161931169,0.002363588,0.008246979,0,0,0.00226672,0.10780544,0.000903725,0,0,0,0,0.017772408,0,0,0,0,0,0,0.015029048,0,0.000103196,0.000398724,0,0.000289192,0,0,0
SAT40,0,0,0,0,0.048273771,0,0.661991459,1.936084582,0.568039834,0,0,0.021833823,0.216296129,0.003394658,0.859311373,0.000689218,0,0,0.002083086,4.201781899,0.019596435,0.365625526,0.056474764,0.067708431,0.771002453,0.490528076,2.665886619,1.201554616,0.522228574,0.281032333,0.000670073,0.039524567,0.312186829,0.744575873,0.057809954,0.041353106,0.280007123,0.473727692,0.008431928,0.00042197,0.481186993,0.077637122,0.008404018,0,0,1.130340466,0.128654108,1.75534885,0.007603636,0.007801276,0.002934737,0,0,1.012730559,0.005566764,0.161787314,0,0.00012685,0.002542199,0.200273234,0.002052452,0.001148697,0,0,0,0.016017048,0.003027408,0.006416861,0,0,0,0.000847934,0.070397455,0,0.002135362,0.004628328,0,0.000145952,0,0,0.000354202
SAT41,0,0,0.037917028,0.00091514,0.244385317,0,1.605030029,3.669431377,1.282702585,0.941153647,1.615507335,1.241358219,0.367495558,0.009775155,1.347846858,0.014940513,0.029390175,0.046202686,0.016609113,7.011823035,0.189620712,1.083178101,0.308306669,0.208896884,1.340074738,1.229420419,1.745773535,0.716354524,1.038851798,0.55877097,0.005581226,0.010487798,0,1.120949509,0.174822924,0.02957086,0.160897131,0.973133798,0.72074546,0.002838803,0.685018828,0.001121785,0.154806314,0.129812292,0,0.997715473,0.182658306,2.052720285,0.771114927,0.758870266,0,0.573380378,3.366081043,1.082711275,0.000445838,0.272632576,0,0.122175908,0.058719002,0.207465116,0.046026174,0,0,0,0,0.123754465,0,0,0,0,0,0.004022383,0.153205158,0,0.001518318,0.053079622,0,0.000163649,0.000792149,0,0
SAT42,0,0,0.021120486,0,0.142014108,0,0.771651098,2.241153942,0.804570185,0,0.353552285,0.02919531,0.225272989,0.012330444,1.365974563,0.017292675,0.015444218,0.076509123,0.139851103,7.143374874,0.176762884,0.627205607,0.586133631,0.605360385,1.216350981,0.724871016,4.70434289,2.904973101,0.940470598,0.410513688,0,0.003770838,0.385181564,1.581742949,0.12726577,0.021102187,0.550409516,0.97292085,0,0.001522838,0.700215539,0.26243907,0.082940649,0.21779151,0,2.45562092,0.273926302,2.726270184,0.00371376,0.003727684,0.110312439,0,0,2.068881613,0.057604286,0.287055014,0,0.065855748,0.052163452,3.986863352,0.006348892,0.12456253,0,0,0,0.07633066,0.008102828,0.01102745,0,0,0,0,0.060563636,0,0.000107404,0.006484105,0,0,0.000145693,0,0.000228263
