,robbins,berger_parker_d,heip_e,ace,chao1,menhinick,brillouin_d,gini_index,margalef,dominance,fisher_alpha,michaelis_menten_fit,observed_otus,mcintosh_d,doubles,pielou_e,singles,mcintosh_e,goods_coverage,shannon,enspie,simpson,kempton_taylor_q,simpson_e,lladser_pe,strong,faith_pd
SAT37,0.028137931,0.082896552,0.208514907,821.3043441,809.1515152,7.046642634,4.706187703,0.945917856,67.38850179,0.023405241,155.240668,755.6822775,600,0.857078156,98,0.755908164,204,0.166764913,0.971862069,6.976139392,42.72547263,0.976594759,,0.071209121,0.021513264,0.630816092,58.24375985
SAT38,0.026896552,0.143310345,0.178299193,775.026536,771,6.764776929,4.516001959,0.950746447,64.68846165,0.035109555,146.9985061,728.5071861,576,0.82228177,96,0.72997261,195,0.203515082,0.973103448,6.693794083,28.48227475,0.964890445,,0.049448394,0.023332785,0.644463602,57.9444632
SAT39,0.028275862,0.167448276,0.117656046,749.4359762,741,5.813480173,3.978117731,0.968220801,55.57582618,0.055627681,120.2803375,669.7450125,495,0.773225865,84,0.657517381,205,0.253099621,0.971724138,5.88562528,17.97666155,0.944372319,,0.036316488,0.024434695,0.714463253,45.4456148
SAT04,0.029655172,0.062344828,0.229340485,838.6402292,834.1649485,7.011409421,4.797485511,0.947112774,67.05099677,0.016351734,154.2022979,765.3919235,597,0.882490427,96,0.770501618,215,0.139326648,0.970344828,7.105247797,61.15559496,0.983648266,,0.102438183,0.020156682,0.646447872,52.8091633
SAT40,0.030758621,0.072551724,0.225495353,894.8908561,880.0084034,7.89223975,4.882716798,0.93576937,75.4886222,0.018096742,180.8538922,860.1835681,672,0.875761162,118,0.771997126,223,0.148243258,0.969241379,7.250842056,55.25856541,0.981903258,0,0.082230008,0.032930831,0.620222085,65.19494504
SAT41,0.029241379,0.467586207,0.04878067,780.9584386,761.5142857,5.191026741,3.027021668,0.977769761,49.61323754,0.226186083,103.7265421,629.9752259,442,0.530641825,69,0.511230064,212,0.506390497,0.970758621,4.492639991,4.421138497,0.773813917,,0.010002576,0.03393505,0.750577001,41.47232576
SAT42,0.028,0.193655172,0.180341439,819.5202875,810.8586957,6.905709781,4.543631421,0.945628591,66.03848172,0.048167952,151.1010667,726.5914288,588,0.78980379,91,0.732589552,203,0.238805549,0.972,6.739583844,20.76069148,0.951832048,,0.035307298,0.024788542,0.618441004,60.34204676
SAT05,0.026758621,0.353793103,0.053762331,722.2940009,659.0111111,5.29672638,3.137393622,0.97693391,50.6257526,0.157489465,106.4851614,640.9198573,451,0.610318403,89,0.527953098,194,0.423109459,0.973241379,4.654953816,6.349631072,0.842510535,,0.014079005,0.023614367,0.749842954,36.91096712
SAT06,0.032827586,0.165793103,0.097487713,900.8726167,832.8876404,6.060112665,3.833042995,0.968636828,57.9383613,0.067375372,127.0435935,726.6998936,516,0.749231615,88,0.630130131,238,0.279414236,0.967172414,5.678245812,14.84221857,0.932624628,,0.028763989,0.042396156,0.720176423,42.54419349
SAT07,0.033241379,0.066482759,0.220514059,959.2554128,895.1794872,7.610374045,4.830725072,0.940989753,72.78858207,0.018327249,172.1686104,834.5703154,648,0.874896975,116,0.767318651,241,0.148642199,0.966758621,7.166641101,54.56356415,0.981672751,0,0.084203031,0.033762768,0.628323968,52.22569589
SAT08,0.028275862,0.192,0.127401658,784.3071915,709.2826087,5.660802916,4.032759926,0.969086472,54.11330444,0.053243168,116.1514047,655.4262635,482,0.778396998,91,0.66877321,205,0.247140065,0.971724138,5.960701609,18.78175255,0.946756832,,0.038966292,0.030330541,0.714535985,39.11107638
SAT09,0.038206897,0.119448276,0.153374885,1023.956404,993.3157895,7.727818089,4.489553225,0.947933212,73.91359879,0.034259367,175.7695631,902.7628773,658,0.824591474,113,0.71236598,277,0.203536039,0.961793103,6.66913025,29.18909704,0.965740633,0,0.04436033,0.026318378,0.666808091,56.69884938
