R_cpd,SAT01,SAT02,SAT03,SAT04,SAT05,SAT06,SAT07,SAT08,SAT09,SAT10,SAT11,SAT12,SAT13,SAT14,SAT15,SAT16,SAT17,SAT18,SAT19,SAT20,SAT21,SAT22,SAT23,SAT24,SAT25,SAT26,SAT27,SAT28,SAT29,SAT30,SAT31,SAT32,SAT33,SAT34,SAT35,SAT36,SAT37,SAT38,SAT39,SAT40,SAT41,SAT42
C14_1n5,1.296651934,0.121593695,0.026019869,0.085962993,0.043520328,0.052684094,0.094741134,0.393543113,0.124279227,1.208700936,,1.017709457,0,1.063646317,1.150804639,0,,0.067341455,0.803146215,0.013728572,1.670323916,2.357465509,1.231787342,0.024390028,1.353646236,0.08396013,0,0.032371355,1.060312378,1.65670027,0.022948582,0,0.642573074,0.022726519,0.287985434,0,0,0.456126676,0,0,1.615507335,0.353552285
C16_0br,0.052082823,0.111316392,0.034226282,0.088866423,0.071324419,0.057655686,0.054268118,0.275289418,0.134688988,1.03621515,,0.894554426,0.002256184,0.007898019,0.285096414,0.001242561,,0.07545024,0.067062363,0.017211941,0.522694106,0.676392865,0.013648282,0.020299085,0.39299278,0.009516495,0.001960957,0.068254283,0.298130843,0.916069918,0.035062469,0.012311755,0.33260253,0.060153605,0.237226854,0.000304558,0,0.037048159,0,0.021833823,1.241358219,0.02919531
C15_0,0.280262375,0.301655669,0.162357584,0.343311494,0.270541103,0.432674522,0.349630803,0.753667972,0.449184612,0.403291823,,0.511349645,0.231723444,0.388607236,0.573177601,0.234795531,,0.241992532,0.386485304,0.153802912,0.320305469,0.425132008,0.37197905,0.336524579,0.279741658,0.122432708,0.208079635,0.163372724,0.228883143,0.392174871,0.416938264,0.210573988,0.123446515,0.146565429,0.117580152,0.040332586,0.076120467,0.339859952,0,0.216296129,0.367495558,0.225272989
C16_0br,0.024330662,0.024265154,0.00634103,0.000613401,0.019334474,0.025386854,0.010243694,0.031073508,0.032138204,0.014381253,,0.013647848,0.006687974,0.000987252,0.021199077,0.006212806,,0.008070999,0.006234441,0.003073561,0.021223353,0.034601224,0.004835391,0.021111049,0.028927081,0.000865136,0.005333804,0.015455376,0.007153854,0.012498344,0.011995055,0.000639572,0.002815257,0.001148909,0.003552751,0,0.001136126,0.014050043,0,0.003394658,0.009775155,0.012330444
iC16_0,1.884485793,1.686504,1.175688078,2.52215024,1.660557302,1.728905906,1.679340195,2.738918907,2.263940875,2.202320549,,2.32695815,1.299723147,1.961401317,1.341543076,1.596302854,,1.536210416,2.666150167,0.919609445,2.089671864,2.337577268,1.748149941,2.755641427,2.054621869,1.080318814,1.60476905,1.420725008,1.616288756,2.544042171,3.087091036,1.459822421,0.834120493,1.162696153,0.880193987,0.407879966,0.602715044,1.895499979,0.161582421,0.859311373,1.347846858,1.365974563
aC16_0,0.022641033,0.014225446,0.019109674,0.122608572,0.01949348,0.015255902,0.05867838,0.079975679,0.029235453,0.031662555,,0.046643934,0.048468563,0.01202653,0.005569954,0.055963576,,0.047797243,0.067736356,0.011244355,0.030541992,0.030061905,0.068974517,0.177711725,0.029505978,0.031850984,0.127530207,0.088562554,0.010292262,0.028225194,0.198325703,0.120935903,0.002395203,0.104102119,0.01274325,0.000906908,0.036247842,0.027346565,0.001138024,0.000689218,0.014940513,0.017292675
C15_1,0.130043316,0.184418749,0,0,0.041764095,0.001774984,0.007260542,0.008732009,0.058593201,0.079259519,,0.071264092,0,0.075947061,0.156490479,0,,0,0,0,0.133443161,0.128939001,0.089201118,0,0.175119142,0,0,0.039225541,0.068781558,0.030091664,0.131518274,0.025896359,0.012306062,0,0.008519481,0,0,0.02691591,0,0,0.029390175,0.015444218
C17_0br,0.165905779,0.297336329,0.118564203,0.317269537,0.266576479,0.226585749,0.041987442,0.345985828,0.203010483,0.188288726,,0.205019105,0.116780953,0.013391242,0.198503667,0.099045788,,0.132722241,0.033227645,0.044398787,0.169455569,0.172773423,0.137489501,0.328106929,0.336574713,0.003213999,0.237348714,0.233500901,0.143536562,0.21842506,0.36741646,0.143445501,0.034475634,0.179534821,0.053024403,0,0.02691595,0.065643691,0,0,0.046202686,0.076509123
C16_1w5t,0.25433145,0.13535406,0.105887561,0.114322551,0.103675409,0.159661899,0.035188261,0.258113107,0.192829223,0.109006835,,0.17540587,0.02779941,0,0.155018252,0.037509817,,0.054139175,0.001769233,0.02476412,0.187933187,0.177565339,0.020121467,0.037999888,0.227980561,0,0.017648616,0.080451498,0.126357963,0.064924285,0,0.057081775,0.003137001,0.021172756,0.096408735,0.002284189,0.003651835,0.288928545,0.001146517,0.002083086,0.016609113,0.139851103
C16_0,5.907347273,4.759954747,3.74352453,10.94260578,5.587904374,7.017107601,8.675163784,10.70054437,7.967879191,6.88520092,,9.069551278,4.660980118,11.12730147,8.975361393,5.940772582,,5.162732384,7.273212174,2.81771321,5.989597861,9.181083609,6.934222669,6.370864612,6.413346443,2.239014865,2.505602639,3.570447465,4.557636826,5.788246373,5.913136614,6.460865739,3.20510092,3.007068729,5.444814148,1.463144135,3.251511942,5.958824254,0.816721881,4.201781899,7.011823035,7.143374874
C16_1w5c,0.191527929,0.264945145,0.102373255,0.143689109,0.311406827,0.124257943,0.076866801,0.126402033,0.243375945,0.236066732,,0.070875758,0.021433748,2.545136751,0.064922174,0.003883004,,0.05540877,0.126795045,0.018090102,0.222174582,0.175774217,0.135624927,0.00820083,0.289270814,0.018089206,0.081105196,0.063325271,0.146051157,0.0122467,0.01727959,0.01311122,0.070622738,0.000410325,0.063626535,0.004492238,0.003814139,0.248112776,0.001299386,0.019596435,0.189620712,0.176762884
