,SAT01,SAT10,SAT11,SAT12,SAT13,SAT14,SAT15,SAT16,SAT17,SAT18,SAT19,SAT02,SAT20,SAT21,SAT22,SAT23,SAT24,SAT25,SAT26,SAT27,SAT28,SAT29,SAT03,SAT30,SAT31,SAT32,SAT33,SAT34,SAT35,SAT36,SAT37,SAT38,SAT39,SAT04,SAT40,SAT41,SAT42,SAT05,SAT06,SAT07,SAT08,SAT09,taxonomy
Otu2378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;SAR;Alveolata;Apicomplexa;Conoidasida;Gregarinasina;Eugregarinorida
Otu2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina
Otu637,0,0,0,1,0,0,0,1,0,1,0,1,0,2,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,5,3,0,0,0,0,10,2,0,Eukaryota;Amoebozoa;Tubulinea;Euamoebida;Hartmannella
Otu1142,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,Eukaryota;SAR;Rhizaria;Cercozoa;Glissomonadida
Otu1681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Capnodiales
Otu183,4,3,0,0,0,0,0,0,0,3,1,0,0,5,1,0,8,11,3,2,11,7,2,0,2,6,7,2,15,44,11,10,58,0,15,1,16,2,1,0,0,4,Eukaryota;Amoebozoa
Otu684,0,2,0,0,1,0,0,0,0,0,9,0,0,1,4,2,3,1,2,6,0,0,1,0,0,0,0,0,0,4,1,0,3,1,27,12,0,0,1,0,2,3,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Pezizomycetes;Pezizales;Incertae Sedis
Otu1113,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Conthreep;Colpodea
Otu740,1,0,0,0,0,0,0,0,15,1,2,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes
Otu184,1,2,5,4,3,2,1,4,2,0,3,11,0,2,4,2,2,2,1,1,1,1,2,1,0,2,2,0,9,85,6,3,37,2,3,42,1,0,5,2,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Tremellaceae
