,SAT01,SAT10,SAT11,SAT12,SAT13,SAT14,SAT15,SAT16,SAT17,SAT18,SAT19,SAT02,SAT20,SAT21,SAT22,SAT23,SAT24,SAT25,SAT26,SAT27,SAT28,SAT29,SAT03,SAT30,SAT31,SAT32,SAT33,SAT34,SAT35,SAT36,SAT37,SAT38,SAT39,SAT04,SAT40,SAT41,SAT42,SAT05,SAT06,SAT07,SAT08,SAT09
Otu1483,0,2,2,2,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0
Otu3052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Otu1295,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,1
Otu2630,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu1560,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu2753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Otu2037,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Otu935,0,1,2,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,4,0,0,2,8,0
Otu1727,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Otu123,8,2,1,0,4,0,1,2,7,24,3,0,5,0,25,3,9,16,14,7,12,19,2,4,17,3,4,7,12,0,3,7,9,0,5,2,4,2,0,3,1,0
Otu1254,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Otu2368,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1
Otu933,1,1,0,0,0,1,0,1,1,8,1,0,2,2,20,1,2,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1
Otu741,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0
Otu2616,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0
Otu1497,0,0,0,2,0,3,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,1,1
Otu1557,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Otu231,0,10,21,12,3,7,0,5,0,1,5,2,2,0,0,3,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,6,0,1,0,5,5,25,0,10
Otu2994,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Otu222,2,37,17,5,3,7,8,8,3,3,12,5,9,3,1,9,3,3,4,5,7,3,2,12,4,0,10,1,0,2,1,2,1,23,21,20,3,9,14,13,9,24
Otu503,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,6,2,1,6,1,1,5,0,2,0,0,4,0,0,0,0,0
Otu519,1,14,0,0,1,0,0,11,5,1,0,0,1,0,13,8,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35,9
Otu2574,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Otu1272,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,1,2,0,0,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Otu1121,0,1,1,5,1,8,4,2,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,6,0,0,0
Otu2173,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0
Otu2055,0,5,0,2,2,1,0,7,6,11,8,1,10,3,13,14,12,0,1,1,6,4,0,1,5,1,1,2,0,0,0,0,0,2,0,0,0,2,0,3,2,6
Otu2381,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
Otu2027,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Otu807,0,5,0,0,12,3,0,4,0,3,0,1,0,0,1,3,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,14,4
Otu566,2,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,0,1,2,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
